Season,Rule,Pokemon,併用率の高いポケモン,Rank_併用率の高いポケモン
1,Single,ニャース,ゴース,8
1,Single,ニャース,ウッウ,9
1,Single,ニャース,ゴチム,10
1,Single,ペルシアン,ギャラドス,1
1,Single,ペルシアン,ラプラス,2
1,Single,ペルシアン,オンバーン,3
1,Single,ペルシアン,エースバーン,4
1,Single,ペルシアン,ミミッキュ,5
1,Single,ペルシアン,ドリュウズ,6
1,Single,ペルシアン,バンギラス,7
1,Single,ペルシアン,クワガノン,8
1,Single,ペルシアン,ドラパルト,9
1,Single,ペルシアン,シザリガー,10
1,Single,ガーディ,ゴース,1
1,Single,ガーディ,サニーゴ,2
1,Single,ガーディ,ウインディ,3
1,Single,ガーディ,リザードン,4
1,Single,ガーディ,キュウコン,5
1,Single,ガーディ,ドッコラー,6
1,Single,ガーディ,ヒドイデ,7
1,Single,ガーディ,テッシード,8
1,Single,ガーディ,バンギラス,9
1,Single,ガーディ,チラチーノ,10
1,Single,ウインディ,ミミッキュ,1
1,Single,ウインディ,ドラパルト,2
1,Single,ウインディ,ドリュウズ,3
1,Single,ウインディ,ロトム,4
1,Single,ウインディ,アーマーガア,5
1,Single,ウインディ,バンギラス,6
1,Single,ウインディ,サザンドラ,7
1,Single,ウインディ,ギャラドス,8
1,Single,ウインディ,トゲキッス,9
1,Single,ウインディ,ロトム,10
1,Single,ワンリキー,サーナイト,1
1,Single,ワンリキー,レドームシ,2
1,Single,ワンリキー,ヤクデ,3
1,Single,ワンリキー,バンギラス,4
1,Single,ワンリキー,ドジョッチ,5
1,Single,ワンリキー,ドラピオン,6
1,Single,ワンリキー,ギャラドス,7
1,Single,ワンリキー,タイプ：ヌル,8
1,Single,ワンリキー,ゴーリキー,9
1,Single,ワンリキー,カイリキー,10
1,Single,ゴーリキー,ドラパルト,1
1,Single,ゴーリキー,ジュラルドン,2
1,Single,ゴーリキー,ミミッキュ,3
1,Single,ゴーリキー,ウッウ,4
1,Single,ゴーリキー,ロトム,5
1,Single,ゴーリキー,ヒヒダルマ,6
1,Single,ゴーリキー,ロトム,7
1,Single,ゴーリキー,アーマーガア,8
1,Single,ゴーリキー,ドリュウズ,9
1,Single,ゴーリキー,エンニュート,10
1,Single,カイリキー,ドリュウズ,1
1,Single,カイリキー,ドラパルト,2
1,Single,カイリキー,ミミッキュ,3
1,Single,カイリキー,ギャラドス,4
1,Single,カイリキー,ロトム,5
1,Single,カイリキー,ロトム,6
1,Single,カイリキー,リザードン,7
1,Single,カイリキー,アーマーガア,8
1,Single,カイリキー,バンギラス,9
1,Single,カイリキー,カビゴン,10
1,Single,ポニータ,ドリュウズ,1
1,Single,ポニータ,ドラパルト,2
1,Single,ポニータ,ミミッキュ,3
1,Single,ポニータ,オーロンゲ,4
1,Single,ポニータ,ラプラス,5
1,Single,ポニータ,バンギラス,6
1,Single,ポニータ,ヒヒダルマ,7
1,Single,ポニータ,トゲキッス,8
1,Single,ポニータ,マホイップ,9
1,Single,ポニータ,モルペコ,10
1,Single,ギャロップ,ドラパルト,1
1,Single,ギャロップ,ミミッキュ,2
1,Single,ギャロップ,バンギラス,3
1,Single,ギャロップ,ドリュウズ,4
1,Single,ギャロップ,アーマーガア,5
1,Single,ギャロップ,トゲキッス,6
1,Single,ギャロップ,サザンドラ,7
1,Single,ギャロップ,ロトム,8
1,Single,ギャロップ,ロトム,9
1,Single,ギャロップ,ギャラドス,10
1,Single,カモネギ,ネギガナイト,1
1,Single,カモネギ,エルフーン,2
1,Single,カモネギ,ロトム,3
1,Single,カモネギ,アーマーガア,4
1,Single,カモネギ,グレイシア,5
1,Single,カモネギ,ホルード,6
1,Single,カモネギ,パッチラゴン,7
1,Single,カモネギ,シザリガー,8
1,Single,カモネギ,ギャラドス,9
1,Single,カモネギ,ポットデス,10
1,Single,シェルダー,ドラパルト,1
1,Single,シェルダー,ミミッキュ,2
1,Single,シェルダー,トゲキッス,3
1,Single,シェルダー,ウオノラゴン,4
1,Single,シェルダー,コオリッポ,5
1,Single,シェルダー,カビゴン,6
1,Single,シェルダー,ドヒドイデ,7
1,Single,シェルダー,オーロンゲ,8
1,Single,シェルダー,サザンドラ,9
1,Single,シェルダー,バチンウニ,10
1,Single,パルシェン,ドラパルト,1
1,Single,パルシェン,ミミッキュ,2
1,Single,パルシェン,ドリュウズ,3
1,Single,パルシェン,トゲキッス,4
1,Single,パルシェン,ロトム,5
1,Single,パルシェン,サザンドラ,6
1,Single,パルシェン,バンギラス,7
1,Single,パルシェン,アーマーガア,8
1,Single,パルシェン,ロトム,9
1,Single,パルシェン,オーロンゲ,10
1,Single,ゴース,サニーゴ,1
1,Single,ゴース,ナマコブシ,2
1,Single,ゴース,テッシード,3
1,Single,ゴース,バチンウニ,4
1,Single,ゴース,ドラパルト,5
1,Single,ゴース,ゴンベ,6
1,Single,ゴース,ガーディ,7
1,Single,ゴース,クラブ,8
1,Single,ゴース,ウソハチ,9
1,Single,ゴース,ベロバー,10
1,Single,ゴースト,シャンデラ,1
1,Single,ゴースト,カビゴン,2
1,Single,ゴースト,ドラパルト,3
1,Single,ゴースト,ハガネール,4
1,Single,ゴースト,ミミッキュ,5
1,Single,ゴースト,マンムー,6
1,Single,ゴースト,ニンフィア,7
1,Single,ゴースト,ドリュウズ,8
1,Single,ゴースト,ヌオー,9
1,Single,ゴースト,タルップル,10
1,Single,ゲンガー,ミミッキュ,1
1,Single,ゲンガー,ドラパルト,2
1,Single,ゲンガー,バンギラス,3
1,Single,ゲンガー,ギャラドス,4
1,Single,ゲンガー,ドリュウズ,5
1,Single,ゲンガー,アーマーガア,6
1,Single,ゲンガー,ロトム,7
1,Single,ゲンガー,サザンドラ,8
1,Single,ゲンガー,トゲキッス,9
1,Single,ゲンガー,ロトム,10
1,Single,イワーク,ミミッキュ,1
1,Single,イワーク,リザードン,2
1,Single,イワーク,ドラパルト,3
1,Single,イワーク,ドリュウズ,4
1,Single,イワーク,ギャラドス,5
1,Single,イワーク,トゲキッス,6
1,Single,イワーク,バタフリー,7
1,Single,イワーク,オノノクス,8
1,Single,イワーク,カビゴン,9
1,Single,イワーク,ロトム,10
1,Single,クラブ,ベロバー,1
1,Single,クラブ,ウソハチ,2
1,Single,クラブ,ゴース,3
1,Single,クラブ,ゴンベ,4
1,Single,クラブ,カラナクシ,5
1,Single,クラブ,アーマーガア,6
1,Single,クラブ,ポットデス,7
1,Single,クラブ,ヤトウモリ,8
1,Single,クラブ,ウソッキー,9
1,Single,クラブ,チラーミィ,10
1,Single,キングラー,ロトム,1
1,Single,キングラー,ドラパルト,2
1,Single,キングラー,ニンフィア,3
1,Single,キングラー,ドリュウズ,4
1,Single,キングラー,リザードン,5
1,Single,キングラー,オノノクス,6
1,Single,キングラー,バンギラス,7
1,Single,キングラー,アーマーガア,8
1,Single,キングラー,カビゴン,9
1,Single,キングラー,ラプラス,10
1,Single,サワムラー,ドラパルト,1
1,Single,サワムラー,ドリュウズ,2
1,Single,サワムラー,ギャラドス,3
1,Single,サワムラー,リザードン,4
1,Single,サワムラー,トゲキッス,5
1,Single,サワムラー,ミミッキュ,6
1,Single,サワムラー,ラプラス,7
1,Single,サワムラー,ロトム,8
1,Single,サワムラー,ロトム,9
1,Single,サワムラー,パルシェン,10
1,Single,エビワラー,エレザード,1
1,Single,エビワラー,カバルドン,2
1,Single,エビワラー,ピクシー,3
1,Single,エビワラー,カイリキー,4
1,Single,エビワラー,ロトム,5
1,Single,エビワラー,ドラパルト,6
1,Single,エビワラー,ギャラドス,7
1,Single,エビワラー,トゲキッス,8
1,Single,エビワラー,ミミッキュ,9
1,Single,エビワラー,バンギラス,10
1,Single,ドガース,アーマーガア,1
1,Single,ドガース,ラプラス,2
1,Single,ドガース,ロトム,3
1,Single,ドガース,パッチラゴン,4
1,Single,ドガース,ドラパルト,5
1,Single,ドガース,オニシズクモ,6
1,Single,ドガース,カビゴン,7
1,Single,ドガース,ヌメルゴン,8
1,Single,ドガース,ダグトリオ,9
1,Single,ドガース,サザンドラ,10
1,Single,マタドガス,ドラパルト,1
1,Single,マタドガス,ドリュウズ,2
1,Single,マタドガス,バンギラス,3
1,Single,マタドガス,サザンドラ,4
1,Single,マタドガス,ミミッキュ,5
1,Single,マタドガス,アーマーガア,6
1,Single,マタドガス,ギャラドス,7
1,Single,マタドガス,ロトム,8
1,Single,マタドガス,ロトム,9
1,Single,マタドガス,ヒヒダルマ,10
1,Single,サイホーン,リザードン,1
1,Single,サイホーン,サザンドラ,2
1,Single,サイホーン,インテレオン,3
1,Single,サイホーン,ドリュウズ,4
1,Single,サイホーン,ジュラルドン,5
1,Single,サイホーン,ロトム,6
1,Single,サイホーン,オーロンゲ,7
1,Single,サイホーン,ロコン,8
1,Single,サイホーン,トサキント,9
1,Single,サイホーン,ディグダ,10
1,Single,サイドン,ドラパルト,1
1,Single,サイドン,ミミッキュ,2
1,Single,サイドン,ギャラドス,3
1,Single,サイドン,ラプラス,4
1,Single,サイドン,リザードン,5
1,Single,サイドン,サザンドラ,6
1,Single,サイドン,アーマーガア,7
1,Single,サイドン,ロトム,8
1,Single,サイドン,トゲキッス,9
1,Single,サイドン,ロトム,10
1,Single,トサキント,ディグダ,1
1,Single,トサキント,キャタピー,2
1,Single,トサキント,サイホーン,3
1,Single,トサキント,ロコン,4
1,Single,トサキント,ピッピ,5
1,Single,トサキント,エルフーン,6
1,Single,トサキント,カマスジョー,7
1,Single,トサキント,アズマオウ,8
1,Single,トサキント,ギャロップ,9
1,Single,トサキント,パッチラゴン,10
1,Single,アズマオウ,パルシェン,1
1,Single,アズマオウ,ダグトリオ,2
1,Single,アズマオウ,パンプジン,3
1,Single,アズマオウ,ブリムオン,4
1,Single,アズマオウ,マホイップ,5
1,Single,アズマオウ,ロトム,6
1,Single,アズマオウ,エルフーン,7
1,Single,アズマオウ,キリキザン,8
1,Single,アズマオウ,ポットデス,9
1,Single,アズマオウ,シャンデラ,10
1,Single,バリヤード,ラプラス,1
1,Single,バリヤード,ミミッキュ,2
1,Single,バリヤード,ドリュウズ,3
1,Single,バリヤード,ルチャブル,4
1,Single,バリヤード,ウインディ,5
1,Single,バリヤード,ドラパルト,6
1,Single,バリヤード,ドクロッグ,7
1,Single,バリヤード,トゲキッス,8
1,Single,バリヤード,ジュラルドン,9
1,Single,バリヤード,ニンフィア,10
1,Single,バリヤード,アーマーガア,1
1,Single,バリヤード,ドラパルト,2
1,Single,バリヤード,ドリュウズ,3
1,Single,バリヤード,ミミッキュ,4
1,Single,バリヤード,オーロンゲ,5
1,Single,バリヤード,バンギラス,6
1,Single,バリヤード,ジュラルドン,7
1,Single,バリヤード,ヒヒダルマ,8
1,Single,バリヤード,ロトム,9
1,Single,バリヤード,トゲキッス,10
1,Single,コイキング,ミミッキュ,1
1,Single,コイキング,ドリュウズ,2
1,Single,コイキング,ロトム,3
1,Single,コイキング,ラプラス,4
1,Single,コイキング,ルカリオ,5
1,Single,コイキング,ドラパルト,6
1,Single,コイキング,ナットレイ,7
1,Single,コイキング,ニンフィア,8
1,Single,コイキング,ウインディ,9
1,Single,コイキング,カバルドン,10
1,Single,ギャラドス,ミミッキュ,1
1,Single,ギャラドス,ドリュウズ,2
1,Single,ギャラドス,ドラパルト,3
1,Single,ギャラドス,ロトム,4
1,Single,ギャラドス,サザンドラ,5
1,Single,ギャラドス,バンギラス,6
1,Single,ギャラドス,アーマーガア,7
1,Single,ギャラドス,トゲキッス,8
1,Single,ギャラドス,ロトム,9
1,Single,ギャラドス,ナットレイ,10
1,Single,ラプラス,ドリュウズ,1
1,Single,ラプラス,ドラパルト,2
1,Single,ラプラス,ミミッキュ,3
1,Single,ラプラス,アーマーガア,4
1,Single,ラプラス,バンギラス,5
1,Single,ラプラス,ロトム,6
1,Single,ラプラス,トゲキッス,7
1,Single,ラプラス,サザンドラ,8
1,Single,ラプラス,リザードン,9
1,Single,ラプラス,エースバーン,10
1,Single,メタモン,ミミッキュ,1
1,Single,メタモン,ドラパルト,2
1,Single,メタモン,オーロンゲ,3
1,Single,メタモン,ドリュウズ,4
1,Single,メタモン,サザンドラ,5
1,Single,メタモン,アーマーガア,6
1,Single,メタモン,トゲキッス,7
1,Single,メタモン,アイアント,8
1,Single,メタモン,カビゴン,9
1,Single,メタモン,バンギラス,10
1,Single,イーブイ,ニンフィア,1
1,Single,イーブイ,ブラッキー,2
1,Single,イーブイ,エーフィ,3
1,Single,イーブイ,サンダース,4
1,Single,イーブイ,シャワーズ,5
1,Single,イーブイ,ドラパルト,6
1,Single,イーブイ,グレイシア,7
1,Single,イーブイ,サザンドラ,8
1,Single,イーブイ,ブースター,9
1,Single,イーブイ,マホイップ,10
1,Single,シャワーズ,ニンフィア,1
1,Single,シャワーズ,ブラッキー,2
1,Single,シャワーズ,グレイシア,3
1,Single,シャワーズ,サンダース,4
1,Single,シャワーズ,ブースター,5
1,Single,シャワーズ,ドリュウズ,6
1,Single,シャワーズ,エーフィ,7
1,Single,シャワーズ,ドラパルト,8
1,Single,シャワーズ,ミミッキュ,9
1,Single,シャワーズ,リーフィア,10
1,Single,サンダース,ニンフィア,1
1,Single,サンダース,ブラッキー,2
1,Single,サンダース,シャワーズ,3
1,Single,サンダース,グレイシア,4
1,Single,サンダース,ブースター,5
1,Single,サンダース,エーフィ,6
1,Single,サンダース,ギャラドス,7
1,Single,サンダース,ドラパルト,8
1,Single,サンダース,ミミッキュ,9
1,Single,サンダース,アーマーガア,10
1,Single,ブースター,ニンフィア,1
1,Single,ブースター,ブラッキー,2
1,Single,ブースター,シャワーズ,3
1,Single,ブースター,グレイシア,4
1,Single,ブースター,サンダース,5
1,Single,ブースター,エーフィ,6
1,Single,ブースター,リーフィア,7
1,Single,ブースター,ドラパルト,8
1,Single,ブースター,ドリュウズ,9
1,Single,ブースター,ミミッキュ,10
1,Single,カビゴン,ミミッキュ,1
1,Single,カビゴン,ドラパルト,2
1,Single,カビゴン,ドリュウズ,3
1,Single,カビゴン,サザンドラ,4
1,Single,カビゴン,アーマーガア,5
1,Single,カビゴン,トゲキッス,6
1,Single,カビゴン,ギャラドス,7
1,Single,カビゴン,ロトム,8
1,Single,カビゴン,オーロンゲ,9
1,Single,カビゴン,ロトム,10
1,Single,ホーホー,マホイップ,1
1,Single,ホーホー,ヤミラミ,2
1,Single,ホーホー,ドラピオン,3
1,Single,ホーホー,ムンナ,4
1,Single,ホーホー,ユキハミ,5
1,Single,ホーホー,ナマコブシ,6
1,Single,ホーホー,ベロバー,7
1,Single,ホーホー,スナヘビ,8
1,Single,ホーホー,ムシャーナ,9
1,Single,ホーホー,シルヴァディ,10
1,Single,ヨルノズク,ドラパルト,1
1,Single,ヨルノズク,アーマーガア,2
1,Single,ヨルノズク,ミミッキュ,3
1,Single,ヨルノズク,インテレオン,4
1,Single,ヨルノズク,ドリュウズ,5
1,Single,ヨルノズク,ウッウ,6
1,Single,ヨルノズク,ウォーグル,7
1,Single,ヨルノズク,トリトドン,8
1,Single,ヨルノズク,ルチャブル,9
1,Single,ヨルノズク,エレザード,10
1,Single,チョンチー,ジャランゴ,1
1,Single,チョンチー,アマージョ,2
1,Single,チョンチー,イシズマイ,3
1,Single,チョンチー,ナマコブシ,4
1,Single,チョンチー,ニャスパー,5
1,Single,チョンチー,ソーナノ,6
1,Single,チョンチー,バニプッチ,7
1,Single,チョンチー,ガントル,8
1,Single,チョンチー,スカタンク,9
1,Single,チョンチー,ココガラ,10
1,Single,ランターン,アーマーガア,1
1,Single,ランターン,ドラパルト,2
1,Single,ランターン,ミミッキュ,3
1,Single,ランターン,ドリュウズ,4
1,Single,ランターン,ギャラドス,5
1,Single,ランターン,バンギラス,6
1,Single,ランターン,サザンドラ,7
1,Single,ランターン,トゲキッス,8
1,Single,ランターン,ヒヒダルマ,9
1,Single,ランターン,リザードン,10
1,Single,ピチュー,オーロンゲ,1
1,Single,ピチュー,コオリッポ,2
1,Single,ピチュー,アイアント,3
1,Single,ピチュー,ミミッキュ,4
1,Single,ピチュー,アーマーガア,5
1,Single,ピチュー,ニンフィア,6
1,Single,ピチュー,ルンパッパ,7
1,Single,ピチュー,シザリガー,8
1,Single,ピチュー,バンギラス,9
1,Single,ピチュー,ウオノラゴン,10
1,Single,ピィ,ヌメルゴン,1
1,Single,ピィ,ピクシー,2
1,Single,ピィ,ピッピ,3
1,Single,ピィ,キュウコン,4
1,Single,ピィ,グレッグル,5
1,Single,ピィ,ユキメノコ,6
1,Single,ピィ,バイウールー,7
1,Single,ピィ,シルヴァディ,8
1,Single,ピィ,ゴーリキー,9
1,Single,ピィ,テッシード,10
1,Single,トゲピー,ドジョッチ,1
1,Single,トゲピー,ミブリム,2
1,Single,トゲピー,チラチーノ,3
1,Single,トゲピー,シズクモ,4
1,Single,トゲピー,エーフィ,5
1,Single,トゲピー,サザンドラ,6
1,Single,トゲピー,ポニータ,7
1,Single,トゲピー,ラクライ,8
1,Single,トゲピー,トゲキッス,9
1,Single,トゲピー,ドリュウズ,10
1,Single,トゲチック,ドラパルト,1
1,Single,トゲチック,オノノクス,2
1,Single,トゲチック,ドリュウズ,3
1,Single,トゲチック,リザードン,4
1,Single,トゲチック,ウオノラゴン,5
1,Single,トゲチック,トゲキッス,6
1,Single,トゲチック,ミミッキュ,7
1,Single,トゲチック,ルチャブル,8
1,Single,トゲチック,シャンデラ,9
1,Single,トゲチック,ギャラドス,10
1,Single,ネイティ,モンメン,1
1,Single,ネイティ,ワシボン,2
1,Single,ネイティ,スボミー,3
1,Single,ネイティ,ユキハミ,4
1,Single,ネイティ,ヨーギラス,5
1,Single,ネイティ,ウールー,6
1,Single,ネイティ,ジヘッド,7
1,Single,ネイティ,ウッウ,8
1,Single,ネイティ,パッチラゴン,9
1,Single,ネイティ,バチンウニ,10
1,Single,ネイティオ,ドリュウズ,1
1,Single,ネイティオ,ミミッキュ,2
1,Single,ネイティオ,ドラパルト,3
1,Single,ネイティオ,バンギラス,4
1,Single,ネイティオ,オーロンゲ,5
1,Single,ネイティオ,トゲキッス,6
1,Single,ネイティオ,アーマーガア,7
1,Single,ネイティオ,オノノクス,8
1,Single,ネイティオ,ロトム,9
1,Single,ネイティオ,ウインディ,10
1,Single,キレイハナ,トゲキッス,1
1,Single,キレイハナ,ドラパルト,2
1,Single,キレイハナ,ドリュウズ,3
1,Single,キレイハナ,バンギラス,4
1,Single,キレイハナ,ミミッキュ,5
1,Single,キレイハナ,ロトム,6
1,Single,キレイハナ,ロトム,7
1,Single,キレイハナ,アーマーガア,8
1,Single,キレイハナ,リザードン,9
1,Single,キレイハナ,ジュラルドン,10
1,Single,ウソッキー,バンギラス,1
1,Single,ウソッキー,ドサイドン,2
1,Single,ウソッキー,ドラパルト,3
1,Single,ウソッキー,ドリュウズ,4
1,Single,ウソッキー,トゲキッス,5
1,Single,ウソッキー,ヒヒダルマ,6
1,Single,ウソッキー,アイアント,7
1,Single,ウソッキー,ミミッキュ,8
1,Single,ウソッキー,ロトム,9
1,Single,ウソッキー,ウオノラゴン,10
1,Single,ウパー,セキタンザン,1
1,Single,ウパー,コータス,2
1,Single,ウパー,アイアント,3
1,Single,ウパー,グレイシア,4
1,Single,ウパー,サザンドラ,5
1,Single,ウパー,サニゴーン,6
1,Single,ウパー,ミミッキュ,7
1,Single,ウパー,リザードン,8
1,Single,ウパー,エレザード,9
1,Single,ウパー,マルヤクデ,10
1,Single,ヌオー,ドラパルト,1
1,Single,ヌオー,アーマーガア,2
1,Single,ヌオー,バンギラス,3
1,Single,ヌオー,ドヒドイデ,4
1,Single,ヌオー,ミミッキュ,5
1,Single,ヌオー,ドリュウズ,6
1,Single,ヌオー,ロトム,7
1,Single,ヌオー,トゲキッス,8
1,Single,ヌオー,ニンフィア,9
1,Single,ヌオー,サザンドラ,10
1,Single,エーフィ,ブラッキー,1
1,Single,エーフィ,ニンフィア,2
1,Single,エーフィ,ドラパルト,3
1,Single,エーフィ,ドリュウズ,4
1,Single,エーフィ,ミミッキュ,5
1,Single,エーフィ,バンギラス,6
1,Single,エーフィ,トゲキッス,7
1,Single,エーフィ,アーマーガア,8
1,Single,エーフィ,グレイシア,9
1,Single,エーフィ,シャワーズ,10
1,Single,ブラッキー,ドリュウズ,1
1,Single,ブラッキー,ドラパルト,2
1,Single,ブラッキー,ミミッキュ,3
1,Single,ブラッキー,ニンフィア,4
1,Single,ブラッキー,トゲキッス,5
